0x03F8,ARM-2
0x060C,ARM-2
0x15BC,ARM-0
0x1626,ARM-0
0x3D88,ARM-2
0x4D1B,Thumb
0xBCB2,Thumb
0xC290,Thumb
0xC6AA,ARM-2
0xCFAD,ARM-2
0xD45D,ARM-2
0xD628,Thumb
0xEA20,ARM-0
0xEB51,Thumb
0xFBED,ARM-0
0xFF11,ARM-2
0xFF37,ARM-2
0xFF41,ARM-2
0xFF57,ARM-2
0xFF5C,ARM-2
0xFF61,ARM-2
0xFF6C,Thumb
0xFF79,Thumb
0xFF7C,Thumb
0xFF7F,Thumb
0xFF81,Thumb
0xFF84,Thumb
0xFF87,Thumb
0xFF8C,Thumb
0xFF8F,Thumb
0xFF97,Thumb
0xFF99,Thumb
0xFF9C,Thumb
0xFF9F,Thumb
0xFFA1,Thumb
0xFFA4,Thumb
0xFFAC,Thumb
0xFFAF,Thumb
0xFFB1,Thumb
0xFFB4,Thumb
0xFFB7,Thumb
0xFFB9,Thumb
0xFFBC,Thumb
0xFFC4,Thumb
0xFFC7,Thumb
0xFFC9,Thumb
0xFFCE,ARM-0
0xFFD1,Thumb
0xFFF9,Thumb
