0200,トレーナー,きみにきめた！
0201,トレーナー,ゲット
0202,トレーナー,こうかん
0203,トレーナー,サファイア
0204,トレーナー,しんか
0205,トレーナー,ずかん
0206,トレーナー,せいかく
0207,トレーナー,センター
0208,トレーナー,タマゴ
0209,トレーナー,つうしん
020A,トレーナー,とくせい
020B,トレーナー,トレーナー
020C,トレーナー,バージョン
020D,トレーナー,ポケナビ
020E,トレーナー,ポケモン
020F,トレーナー,ポケモンゲット
0210,トレーナー,ポケモンずかん
0211,トレーナー,ルビー
0212,トレーナー,レベル
0213,トレーナー,あか
0214,トレーナー,グリーン
0215,トレーナー,バッグ
0216,トレーナー,ファイア
0217,トレーナー,みどり
0218,トレーナー,リーフ
0219,トレーナー,レッド
0400,ステータス,あく
0401,ステータス,あくしゅう
0402,ステータス,あついしぼう
0403,ステータス,あめうけざら
0404,ステータス,あめふらし
0405,ステータス,ありじごく
0406,ステータス,いかく
0407,ステータス,いしあたま
0408,ステータス,いろ
0409,ステータス,いろちがい
040A,ステータス,いわ
040B,ステータス,うつくしい
040C,ステータス,うつくしさ
040D,ステータス,エアロック
040E,ステータス,エスパー
040F,ステータス,かいりきバサミ
0410,ステータス,かくとう
0411,ステータス,かげふみ
0412,ステータス,かしこい
0413,ステータス,かしこさ
0414,ステータス,かそく
0415,ステータス,かっこいい
0416,ステータス,かっこよさ
0417,ステータス,カブトアーマー
0418,ステータス,かわいい
0419,ステータス,かわいさ
041A,ステータス,がんじょう
041B,ステータス,きゅうばん
041C,ステータス,くさ
041D,ステータス,クリアボディ
041E,ステータス,げきりゅう
041F,ステータス,ゴースト
0420,ステータス,こおり
0421,ステータス,こんじょう
0422,ステータス,さめはだ
0423,ステータス,シェルアーマー
0424,ステータス,しぜんかいふく
0425,ステータス,しめりけ
0426,ステータス,じめん
0427,ステータス,じゅうなん
0428,ステータス,じりょく
0429,ステータス,しろいけむり
042A,ステータス,シンクロ
042B,ステータス,しんりょく
042C,ステータス,すいすい
042D,ステータス,すなおこし
042E,ステータス,すながくれ
042F,ステータス,するどいめ
0430,ステータス,せいしんりょく
0431,ステータス,せいでんき
0432,ステータス,タイプ
0433,ステータス,たくましい
0434,ステータス,たくましさ
0435,ステータス,だっぴ
0436,ステータス,ちからもち
0437,ステータス,ちくでん
0438,ステータス,ちょすい
0439,ステータス,でんき
043A,ステータス,てんきや
043B,ステータス,てんのめぐみ
043C,ステータス,どく
043D,ステータス,どくのトゲ
043E,ステータス,ドラゴン
043F,ステータス,トレース
0440,ステータス,どんかん
0441,ステータス,なまけ
0442,ステータス,にげあし
0443,ステータス,ねんちゃく
0444,ステータス,ノーてんき
0445,ステータス,ノーマル
0446,ステータス,はがね
0447,ステータス,はっこう
0448,ステータス,はやおき
0449,ステータス,はりきり
044A,ステータス,ひかる
044B,ステータス,ひこう
044C,ステータス,ひでり
044D,ステータス,ひらいしん
044E,ステータス,ふくがん
044F,ステータス,ふしぎなうろこ
0450,ステータス,ふしぎなまもり
0451,ステータス,ふみん
0452,ステータス,ふゆう
0453,ステータス,プラス
0454,ステータス,プレッシャー
0455,ステータス,ヘドロえき
0456,ステータス,へんしょく
0457,ステータス,ぼうおん
0458,ステータス,ほうし
0459,ステータス,ポケルス
045A,ステータス,ほのお
045B,ステータス,ほのおのからだ
045C,ステータス,マイナス
045D,ステータス,マイペース
045E,ステータス,マグマのよろい
045F,ステータス,みず
0460,ステータス,みずのベール
0461,ステータス,むし
0462,ステータス,むしのしらせ
0463,ステータス,メロメロボディ
0464,ステータス,めんえき
0465,ステータス,もうか
0466,ステータス,ものひろい
0467,ステータス,もよう
0468,ステータス,もらいび
0469,ステータス,やるき
046A,ステータス,ようりょくそ
046B,ステータス,ヨガパワー
046C,ステータス,りんぷん
0600,バトル,あいしょう
0601,バトル,いけ
0602,バトル,いちばん
0603,バトル,かくご
0604,バトル,かたせて
0605,バトル,かち
0606,バトル,かつ
0607,バトル,かった
0608,バトル,かったら
0609,バトル,かって
060A,バトル,かてない
060B,バトル,かてる
060C,バトル,かなわない
060D,バトル,きあい
060E,バトル,きめた
060F,バトル,きりふだ
0610,バトル,くらえ
0611,バトル,こい！
0612,バトル,こうげき
0613,バトル,こうさん
0614,バトル,こんじょう
0615,バトル,さいのう
0616,バトル,さくせん
0617,バトル,さばき
0618,バトル,しょうぶ
0619,バトル,しょうり
061A,バトル,せめ
061B,バトル,センス
061C,バトル,たいせん
061D,バトル,たたかい
061E,バトル,ちから
061F,バトル,チャレンジ
0620,バトル,つよい
0621,バトル,つよすぎ
0622,バトル,てかげん
0623,バトル,てき
0624,バトル,てんさい
0625,バトル,でんせつ
0626,バトル,にげ
0627,バトル,ねらう
0628,バトル,バトル
0629,バトル,ファイト
062A,バトル,ふっかつ
062B,バトル,ポイント
062C,バトル,ほんき
062D,バトル,まいった
062E,バトル,まけ
062F,バトル,まけたら
0630,バトル,まけて
0631,バトル,まける
0632,バトル,まもり
0633,バトル,みかた
0634,バトル,みとめない
0635,バトル,みとめる
0636,バトル,むてき
0637,バトル,もらった
0638,バトル,よゆう
0639,バトル,よわい
063A,バトル,よわすぎ
063B,バトル,らくしょう
063C,バトル,リーダー
063D,バトル,ルール
063E,バトル,わざ
0800,あいさつ,ありがとう
0801,あいさつ,イエス
0802,あいさつ,いくぜ
0803,あいさつ,いくよ
0804,あいさつ,いくわよ
0805,あいさつ,いやー
0806,あいさつ,いらっしゃい
0807,あいさつ,おーい
0808,あいさつ,おっす
0809,あいさつ,おめでとう
080A,あいさつ,ください
080B,あいさつ,ゴメン
080C,あいさつ,ごめんなさい
080D,あいさつ,ごめんね
080E,あいさつ,こらっ
080F,あいさつ,こんにちは
0810,あいさつ,さようなら
0811,あいさつ,サンキュー
0812,あいさつ,さんじょう
0813,あいさつ,しっけい
0814,あいさつ,しつれい
0815,あいさつ,じゃーね
0816,あいさつ,すみません
0817,あいさつ,それじゃ
0818,あいさつ,どうぞ
0819,あいさつ,どうも
081A,あいさつ,なあ
081B,あいさつ,なんじゃ
081C,あいさつ,ねえ
081D,あいさつ,ノー
081E,あいさつ,ハーイ
081F,あいさつ,はいはい
0820,あいさつ,バイバイ
0821,あいさつ,はじめまして
0822,あいさつ,ヘイ
0823,あいさつ,またね
